OBJECTID,SEA_NAME,SEA_TYPE,IMPLEMENTATION
439,Alamitos Bay,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
443,Altadena Foothills and Arroyos,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
444,Altadena Foothills and Arroyos,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
445,Altadena Foothills and Arroyos,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
446,Altadena Foothills and Arroyos,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
447,Altadena Foothills and Arroyos,Significant Ecological Area,SEA Ordinance Applies
448,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
449,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
450,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
451,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
452,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
453,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
454,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
455,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
456,Antelope Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
457,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
458,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
459,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
460,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
461,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
462,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
463,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
464,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
465,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
466,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
467,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
468,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
469,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
470,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
471,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
472,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
473,Antelope Valley,Significant Ecological Area,SEA Ordinance Applies
474,Ballona Wetlands,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
475,Ballona Wetlands,Coastal Resource Area,SEA Ordinance does NOT Apply - Defer to Coastal Commission
476,Cruzan Mesa Vernal Pools,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
477,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
478,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
479,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
480,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
481,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
482,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
483,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
484,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
485,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
486,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
487,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
488,East San Gabriel Valley,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
489,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
490,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
491,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
492,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
493,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
494,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
495,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
496,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
497,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
498,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
499,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
500,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
501,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
502,East San Gabriel Valley,Significant Ecological Area,SEA Ordinance Applies
503,El Segundo Dunes,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
504,Griffith Park,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
505,Harbor Lake Regional Park,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
506,Harbor Lake Regional Park,Significant Ecological Area,SEA Ordinance Applies
507,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
508,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
509,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
510,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
511,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
512,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
513,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
514,Joshua Tree Woodlands,Significant Ecological Area,SEA Ordinance Applies
515,Madrona Marsh Preserve,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
