FIPS,"Household_Income:<10,000","Household_ Income:10,000-14,999","Household_Income:15,000-19,999","Household _Income:20,000-24,999","Household_Income:25,000 -29,999","Household_Income:30,000-34,999","Household_Income:35,000-39,999","Household_Income:40,000-44,999","Household_Income:45,000-49,999","Household_Income:50,000-59,999","Household_Income:60,000-74,999","Household_Income:75,000-99,999","Household_Income:100,000-124,999","Household_Income:125,000-149,999","Household_Income:150,000-199,999","Household_Income:>=200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010200,139,97,84,57,61,43,59,27,42,57,43,42,23,4,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010300,12,6,23,61,41,32,32,12,18,14,14,41,20,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010400,340,236,228,185,115,164,80,68,79,127,79,6,21,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010500,276,103,92,111,93,37,76,68,72,213,139,189,91,23,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010600,230,132,137,127,84,85,139,93,135,148,182,275,137,37,24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010700,225,158,122,102,133,62,95,44,40,107,113,55,24,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010800,32,22,35,19,44,33,19,16,29,48,8,79,44,13,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010900,197,147,120,151,95,119,105,139,97,180,191,162,66,35,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011000,191,107,181,120,108,111,116,163,192,244,379,242,130,46,44,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011100,85,79,71,104,78,81,103,82,36,80,81,105,26,0,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011201,48,28,67,39,22,30,56,29,73,103,159,194,72,31,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011202,275,171,127,164,136,110,68,123,88,130,124,40,9,21,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011300,143,132,110,183,95,130,121,85,61,130,101,70,34,36,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011400,240,196,100,115,105,39,84,23,67,54,30,8,17,8,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025011802,210,123,112,90,101,74,96,153,110,205,228,143,71,34,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025012301,71,61,22,19,39,17,9,31,33,20,19,24,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025012400,169,130,116,80,96,51,30,64,9,26,27,29,14,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065044403,127,131,129,136,135,52,57,45,49,149,110,36,39,14,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065045604,312,249,307,239,184,151,90,135,21,85,174,93,11,8,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065045605,177,171,210,181,225,140,97,80,22,53,78,30,23,13,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6073021000,112,134,118,148,101,90,94,120,94,137,80,98,59,29,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
